timestamp_us,ecg,leads,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
487075167,2379,1,199238,0.18,-0.22,9.98,-0.03,-0.01,-0.01,31.41
487155167,2471,1,198659,0.17,-0.20,9.97,-0.03,-0.01,-0.01,31.41
487240216,2032,1,198871,0.18,-0.21,9.99,-0.03,-0.01,-0.01,31.41
487314167,2093,1,199207,0.18,-0.22,10.01,-0.03,-0.01,-0.01,31.41
487394167,2020,1,199429,0.19,-0.20,9.99,-0.03,-0.01,-0.00,31.41
487474167,2315,1,199669,0.19,-0.22,9.99,-0.03,-0.01,-0.01,31.41
487554167,1878,1,199904,0.17,-0.23,9.99,-0.03,-0.01,-0.01,31.41
487634167,2001,1,199934,0.18,-0.20,9.99,-0.03,-0.01,-0.00,31.41
487714167,2001,1,198797,0.18,-0.21,9.98,-0.03,-0.01,-0.00,31.41
487794167,1402,1,198334,0.18,-0.20,10.00,-0.03,-0.01,-0.00,31.41
487874167,1236,1,198713,0.17,-0.22,9.99,-0.03,-0.01,-0.01,31.41
487954193,1199,1,199232,0.17,-0.22,9.99,-0.03,-0.01,-0.01,31.41
488034167,1324,1,199543,0.17,-0.22,9.99,-0.03,-0.01,-0.00,31.41
488114167,1576,1,199734,0.18,-0.20,9.97,-0.03,-0.02,-0.00,31.41
488194167,1589,1,199870,0.17,-0.23,9.98,-0.03,-0.01,-0.01,31.41
488279216,2386,1,199393,0.18,-0.21,9.97,-0.03,-0.01,-0.01,31.41
488353167,2032,1,198400,0.18,-0.23,9.99,-0.03,-0.01,-0.00,31.41
488433167,1681,1,198620,0.18,-0.21,10.00,-0.03,-0.01,-0.01,31.41
488513167,1757,1,198949,0.18,-0.21,10.01,-0.03,-0.01,-0.00,31.41
488593167,1994,1,199018,0.17,-0.22,10.01,-0.03,-0.01,-0.00,31.41
488673167,1872,1,199025,0.19,-0.23,9.96,-0.03,-0.01,-0.01,31.41
488753167,1875,1,199103,0.18,-0.19,10.01,-0.03,-0.01,-0.01,31.41
488833167,1969,1,199256,0.16,-0.21,10.01,-0.03,-0.01,-0.01,31.41
488913167,2114,1,198599,0.17,-0.18,9.98,-0.03,-0.01,-0.00,31.41
488994167,1921,1,198323,0.17,-0.20,9.99,-0.03,-0.01,-0.00,31.41
489074167,1826,1,198887,0.18,-0.22,9.99,-0.03,-0.01,-0.01,31.41
489154167,1775,1,199243,0.17,-0.22,9.99,-0.03,-0.01,-0.01,31.41
489234167,1795,1,199508,0.17,-0.20,9.98,-0.03,-0.02,-0.01,31.41
489317216,2194,1,199711,0.18,-0.22,10.00,-0.03,-0.01,-0.00,31.33
489393167,1430,1,199843,0.18,-0.23,10.00,-0.03,-0.01,-0.01,31.33
489473167,1653,1,200074,0.18,-0.23,9.99,-0.03,-0.01,-0.00,31.33
489553167,2011,1,199245,0.18,-0.22,10.00,-0.03,-0.01,-0.00,31.33
489633167,1780,1,199120,0.19,-0.21,9.99,-0.03,-0.01,-0.01,31.33
489713167,1778,1,199567,0.18,-0.23,9.98,-0.03,-0.01,-0.01,31.33
489793193,1891,1,199831,0.19,-0.21,9.99,-0.03,-0.01,-0.01,31.33
489873167,2166,1,199956,0.20,-0.21,9.99,-0.03,-0.01,-0.00,31.33
489953168,2013,1,200117,0.19,-0.22,10.00,-0.03,-0.01,-0.00,31.33
490032167,2482,1,200338,0.17,-0.21,10.00,-0.03,-0.01,-0.01,31.33
490112167,3055,1,199964,0.18,-0.21,10.00,-0.03,-0.01,-0.00,31.33
490192167,2883,1,199219,0.17,-0.20,10.00,-0.03,-0.01,-0.00,31.33
490272167,2317,1,199376,0.17,-0.22,10.02,-0.03,-0.01,-0.01,31.33
490357216,2103,1,199781,0.20,-0.21,9.98,-0.03,-0.01,-0.01,31.47
490431168,2181,1,199908,0.18,-0.21,9.97,-0.03,-0.01,-0.00,31.47
490511167,1941,1,200004,0.19,-0.22,9.98,-0.03,-0.01,-0.01,31.47
490591167,1642,1,200174,0.20,-0.22,9.98,-0.03,-0.01,-0.00,31.47
490671167,1465,1,200413,0.18,-0.19,9.99,-0.03,-0.01,-0.01,31.47
490751167,1679,1,199755,0.17,-0.22,9.97,-0.03,-0.01,-0.00,31.47
490831167,1250,1,199414,0.17,-0.20,10.00,-0.03,-0.01,-0.00,31.47
490911167,1233,1,199603,0.17,-0.21,10.00,-0.03,-0.01,-0.00,31.47
490991167,1403,1,199914,0.16,-0.20,9.99,-0.03,-0.01,-0.00,31.47
491071167,1499,1,200108,0.18,-0.21,10.00,-0.03,-0.01,-0.01,31.47
